cbbatch                       	CB_INV_OB   	Outbound Invoice Payment      	Outbound Invoice Payment      	Application Engine            	CB_INV_OB_RUN     	GBL	CB_OUTB_VCHR_PMT_3WM_CHGBKS   	CB_INV_OB_RUN  	CB_INV_OB_RUN     
cbbatch                       	CB_COMB_OB  	Medius Outbound Interface     	Combo Rules OB for Medius Flow	Application Engine            	CB_MEDIUS_OB_CMP  	GBL	CB_CBCLOCDEPT                 	CB_MED_OB_RUN  	CB_MEDIUS_OB_CMP  
cbbatch                       	CB_ACCT_OB  	Medius Outbound Interface     	Medius Dim Val Accounts OB    	Application Engine            	CB_MEDIUS_OB_CMP  	GBL	CB_CF_ACCOUNTS                	CB_MED_OB_RUN  	CB_MEDIUS_OB_CMP  
cbbatch                       	CB_DEPT_OB  	Medius Outbound Interface     	Medius Dimension Values Dept  	Application Engine            	CB_MEDIUS_OB_CMP  	GBL	CB_CF_DEPT                    	CB_MED_OB_RUN  	CB_MEDIUS_OB_CMP  
cbbatch                       	CB_OPRU_OB  	Medius Outbound Interface     	Medius Dimension Val OPRUNITS 	Application Engine            	CB_MEDIUS_OB_CMP  	GBL	CB_CF_OPERATING_UNITS         	CB_MED_OB_RUN  	CB_MEDIUS_OB_CMP  
cbbatch                       	CB_PROD_OB  	Medius Outbound Interface     	Medius Dimension Value Product	Application Engine            	CB_MEDIUS_OB_CMP  	GBL	CB_CF_PRODUCT                 	CB_MED_OB_RUN  	CB_MEDIUS_OB_CMP  
cbbatch                       	CB_COMB_OB  	Medius Outbound Interface     	Combo Rules OB for Medius Flow	Application Engine            	CB_MEDIUS_OB_CMP  	GBL	CB_COMBO_ALLVALUES            	CB_MED_OB_RUN  	CB_MEDIUS_OB_CMP  
cbbatch                       	CB_COMB_OB  	Medius Outbound Interface     	Combo Rules OB for Medius Flow	Application Engine            	CB_MEDIUS_OB_CMP  	GBL	CB_COMBO_EDILOCDEP            	CB_MED_OB_RUN  	CB_MEDIUS_OB_CMP  
cbbatch                       	CB_COMB_OB  	Medius Outbound Interface     	Combo Rules OB for Medius Flow	Application Engine            	CB_MEDIUS_OB_CMP  	GBL	CB_COMBO_IFRS_ACCTS           	CB_MED_OB_RUN  	CB_MEDIUS_OB_CMP  
cbbatch                       	CB_COMB_OB  	Medius Outbound Interface     	Combo Rules OB for Medius Flow	Application Engine            	CB_MEDIUS_OB_CMP  	GBL	CB_COMBO_INVALIDCAN           	CB_MED_OB_RUN  	CB_MEDIUS_OB_CMP  
cbbatch                       	CB_COMB_OB  	Medius Outbound Interface     	Combo Rules OB for Medius Flow	Application Engine            	CB_MEDIUS_OB_CMP  	GBL	CB_COMBO_INVALIDEDI           	CB_MED_OB_RUN  	CB_MEDIUS_OB_CMP  
cbbatch                       	CB_COMB_OB  	Medius Outbound Interface     	Combo Rules OB for Medius Flow	Application Engine            	CB_MEDIUS_OB_CMP  	GBL	CB_COMBO_R_ACCTDEPT           	CB_MED_OB_RUN  	CB_MEDIUS_OB_CMP  
cbbatch                       	CB_COMB_OB  	Medius Outbound Interface     	Combo Rules OB for Medius Flow	Application Engine            	CB_MEDIUS_OB_CMP  	GBL	CB_COMBO_R_ACCTPROD           	CB_MED_OB_RUN  	CB_MEDIUS_OB_CMP  
cbbatch                       	CB_MED_OB   	Medius Outbound Interface     	Mediusflow Invoice STS OB     	Application Engine            	CB_MEDIUS_OB_CMP  	GBL	CB_MEDIUS                     	CB_MED_OB_RUN  	CB_MEDIUS_OB_CMP  
cbbatch                       	CB_MVND_OB  	Medius Outbound Interface     	Medius Flow Supplier List OB  	Application Engine            	CB_MEDIUS_OB_CMP  	GBL	CB_SUPPLIERS                  	CB_MED_OB_RUN  	CB_MEDIUS_OB_CMP  
cbbatch                       	CB_VND_OB   	Vendor Outbound Interface     	Vendor Outbound Interface     	Application Engine            	CB_VINTRFC_RUN_CMP	GBL	CB_OUTB_VENDOR_SYNC           	CB_VND_OB_RUN  	CB_VINTRFC_RUN_CMP
cbbatch                       	CB_VND_OG_OB	Vendor Outbound Interface     	Origami Vendor Outbound       	Application Engine            	CB_VINTRFC_RUN_CMP	GBL	ORIGAMI_VNDR_OB               	CB_VND_OB_RUN  	CB_VINTRFC_RUN_CMP
cbbatch                       	FS_JGEN     	Journal Generator Run Request 	FS_JGEN                       	Application Engine            	JRNLGEN_REQUEST   	GBL	CB_GL_APJGEN_CBC              	PRCSRUNCNTL    	JRNLGEN_REQUEST   
cbbatch                       	FS_JGEN     	Journal Generator Run Request 	FS_JGEN                       	Application Engine            	JRNLGEN_REQUEST   	GBL	CB_GL_APJGEN_EDI              	PRCSRUNCNTL    	JRNLGEN_REQUEST   
cbbatch                       	FS_JGEN     	Journal Generator Run Request 	FS_JGEN                       	Application Engine            	JRNLGEN_REQUEST   	GBL	Treasury_Journals_CBC00       	PRCSRUNCNTL    	JRNLGEN_REQUEST   
cbbatch                       	FS_JGEN     	Journal Generator Run Request 	FS_JGEN                       	Application Engine            	JRNLGEN_REQUEST   	GBL	Treasury_Journals_EDI00       	PRCSRUNCNTL    	JRNLGEN_REQUEST   
cbbatch                       	AP_MATCH    	Match Request Run Control     	AP_MATCH                      	Application Engine            	MTCH_RUN_CNTRL    	GBL	CB_VOUCHER_MATCH              	PRCSRUNCNTL    	MTCH_RUN_CNTRL    
cbbatch                       	AP_MATCH    	Match Request Run Control     	AP_MATCH                      	Application Engine            	MTCH_RUN_CNTRL    	GBL	CB_VOUCHER_MATCH2             	PRCSRUNCNTL    	MTCH_RUN_CNTRL    
cbbatch                       	PO_POCALC   	Batch PO Calculations Process 	PO Calculations               	Application Engine            	PL_PO_CALC        	GBL	CB_PO_CALCULATIONS            	PO_POCALC_PARM 	PL_PO_CALC        
cbbatch                       	POPO005     	Dispatch Purchase Orders      	PO Dispatch/Print             	SQR Report                    	PO_DISPATCH       	GBL	CB_CANCEL_PENDING             	RUN_CNTL_PUR   	PO_DISPATCH       
cbbatch                       	POPO005     	Purchase Orders Print         	PO Dispatch/Print             	SQR Report                    	PO_PRINT          	GBL	CB_CANCEL_PENDING             	RUN_CNTL_PUR   	PO_PRINT          
CBPSAPPS                      	PRCSSRVCLN  	                              	Process Scheduler Server Clean	Application Engine            	PRCSMULTI         	GBL	PurgePSUNX                    	PRCSRUNCNTL    	PRCSMULTI         
CBPSAPPS                      	PRCSYSPURGE 	                              	Process Scheduler System Purge	Application Engine            	PRCSMULTI         	GBL	PurgePSUNX                    	PRCSRUNCNTL    	PRCSMULTI         
CBPSAPPS                      	PSXPARCHATTR	                              	BI Publisher Archive          	Application Engine            	PRCSMULTI         	GBL	PurgePSUNX                    	PRCSRUNCNTL    	PRCSMULTI         
CBPSAPPS                      	PSXP_DIRCLN 	                              	BI Publisher empty dir clean  	Application Engine            	PRCSMULTI         	GBL	PurgePSUNX                    	PRCSRUNCNTL    	PRCSMULTI         
cbbatch                       	AP_PSTPYMNT 	Payment Posting Request       	PS/AP Payment Posting         	Application Engine            	PST_PYMNT_RQST    	GBL	CB_PAYMENT_POST               	PRCSRUNCNTL    	PST_PYMNT_RQST    
cbbatch                       	AP_PSTVCHR  	Voucher Posting Request       	PS/AP Voucher Posting         	Application Engine            	PST_VCHR_RQST     	GBL	CB_VCHR_POST_RUN              	PRCSRUNCNTL    	PST_VCHR_RQST     
cbbatch                       	AP_PSTVCHR  	Voucher Posting Request       	PS/AP Voucher Posting         	Application Engine            	PST_VCHR_RQST     	GBL	CB_VOUCHER_POST               	PRCSRUNCNTL    	PST_VCHR_RQST     
cbbatch                       	PSXPQRYRPT  	                              	BI Publisher Query Report     	XML Publisher                 	PSXPRUNQRYRPT     	GBL	STORE_CBKS                    	PSXPQRUNSRCH_VW	PSXPRUNQRYRPT     
cbbatch                       	PSQUERY     	Scheduled Query Component     	PSQUERY                       	Application Engine            	SCHED_QUERY       	GBL	ADRIAN_WORKLIST               	QUERY_RUN_CNTRL	SCHED_QUERY       
cbbatch                       	PSQUERY     	Scheduled Query Component     	PSQUERY                       	Application Engine            	SCHED_QUERY       	GBL	CBAPRECYCLED                  	QUERY_RUN_CNTRL	SCHED_QUERY       
cbbatch                       	PSQUERY     	Scheduled Query Component     	PSQUERY                       	Application Engine            	SCHED_QUERY       	GBL	CBK_CLOSE                     	QUERY_RUN_CNTRL	SCHED_QUERY       
cbbatch                       	PSQUERY     	Scheduled Query Component     	PSQUERY                       	Application Engine            	SCHED_QUERY       	GBL	CB_AM_ALL_PO_LIST             	QUERY_RUN_CNTRL	SCHED_QUERY       
cbbatch                       	PSQUERY     	Scheduled Query Component     	PSQUERY                       	Application Engine            	SCHED_QUERY       	GBL	CB_AM_ALL_REQ_LIST            	QUERY_RUN_CNTRL	SCHED_QUERY       
cbbatch                       	PSQUERY     	Scheduled Query Component     	PSQUERY                       	Application Engine            	SCHED_QUERY       	GBL	CB_CONSTR_MTCH_EXCPT          	QUERY_RUN_CNTRL	SCHED_QUERY       
cbbatch                       	PSQUERY     	Scheduled Query Component     	PSQUERY                       	Application Engine            	SCHED_QUERY       	GBL	CB_DAY1_ASSET_EXPORT_NEWJQRY  	QUERY_RUN_CNTRL	SCHED_QUERY       
