NAME,NEWNAME
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[JAN-JUL-AUG-SEP-OCT-NOV-DEC],July - January 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[JAN-JUN-JUL-AUG-SEP-OCT-NOV-DEC],June - January 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[JAN-MAR-APR-MAY-JUN-JUL-AUG-SEP-O,March - January 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[JAN-MAY-JUN-JUL-AUG-SEP-OCT-NOV-D,May - January 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[JAN-NOV-DEC],November - January 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[JAN-OCT-NOV-DEC],October - January 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[JAN-SEP-OCT-NOV-DEC],September - January 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[JAN],January 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[JUL],July 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[JUN],June 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[MAR],March 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[MAY],May 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[NOV],November 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[OCT],October 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[SEP],September 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7],7WD
STUB_DCL[COPUSWD]DYS[D7]MIU[JAN],January 7WD
STUB_DCL[COPUSWD]DYS[D8],8WD
STUB_DCL[COPUSWD]DYS[D8]MIU[FEB-MAR-APR-MAY-JUN-JUL-AUG-SEP-OCT-,8WD Every Month Except January
STUB_DCL[COPUSWD]DYS[D8]MIU[JAN],January 8WD
STUB_DCL[COPUSWD]DYS[D9-D10-D11]MIU[FEB-MAR-APR-MAY-JUN-JUL-AUG-,9WD - 11WD Every Month Except January
STUB_DCL[COPUSWD]DYS[D9-D10-D11]MIU[JAN],January 9WD - 11WD
STUB_DCL[COPUSWD]DYS[D9-D10],9WD and 10WD
STUB_DCL[COPUSWD]DYS[D9-D10]MIU[JAN],January 9WD and 10WD
STUB_DCL[COPUSWD]DYS[D9-D11],9WD and 11WD
STUB_DCL[COPUSWD]DYS[D9-D11]MIU[JAN],January 9WD and 11WD
STUB_DCL[COPUSWD]DYS[D9],9WD
STUB_DCL[COPUSWD]DYS[D9]MIU[FEB-MAR-APR-MAY-JUN-JUL-AUG-SEP-OCT-,9WD Every Month Except January
STUB_DCL[COPUSWD]DYS[D9]MIU[JAN],January 9WD
STUB_DCL[COPUSWD]DYS[L1-L2-L3-L4-L5-L6],Last 6 Workdays of the month
STUB_DCL[COPUSWD]DYS[L1-L2-L3],Last 3 Workdays of the month
STUB_DCL[COPUSWD]DYS[L1-L2],Last 2 Workdays of the month
STUB_DCL[COPUSWD]DYS[L1],LWD
STUB_DCL[COPUSWD]DYS[L1]MIU[MAY-NOV],LWD of May and November
STUB_DCL[COPUSWD]DYS[L11],L11WD
STUB_DCL[COPUSWD]DYS[L16],L16WD
STUB_DCL[COPUSWD]DYS[L2-L3],Day Prior Last 2 Workdays of the month
STUB_DCL[COPUSWD]DYS[L2-L4-D4-D13],4WD_ 13WD_ -L2WD_ -L4WD
STUB_DCL[COPUSWD]DYS[L2],Next To Last WD
STUB_DCL[COPUSWD]DYS[L3-L2-L1],Last 3 Workdays of the month
STUB_DCL[COPUSWD]DYS[L3],Third Last WD
STUB_DCL[COPUSWD]DYS[L3]MIU[DEC],Third Last WD - DecemberOnly
STUB_DCL[COPUSWD]DYS[L3]MIU[JAN-FEB-MAR-APR-MAY-JUN-JUL-AUG-SEP-,Third Last WD - NotDecember
STUB_DCL[COPUSWD]DYS[L4-D10],10WD and -L4WD
STUB_DCL[COPUSWD]DYS[L6],COPUSWD-L6WD
STUB_DCL[COPUSWD]WCL[HOLONLY]DYS[D2-D3-D4-D5-D6-D7-D8-D9-D10-D11,SUN-THU Not Day Prior to 1WD and 15WD
STUB_DCL[COPUSWD]WCL[LASTCD]DYS[D1-D2-D4-D5],1-5WD and LCD Except for 3WD
STUB_DCL[COPUSWD]WCL[LASTCD]DYS[D1-D2],1-2WD and LCD
STUB_DCL[COPUSWD]WCL[LASTCD]DYS[D1],1WD
STUB_DCL[DA3WDTHRUEOM],DA3WDTHRUEOM
STUB_DCL[DAYPRIOR1WD],DAYPRIOR1WD
STUB_DCL[DAYPRIORLAST3WD],DAYPRIORLAST3WD
STUB_DCL[EODAY],EODAY
STUB_DCL[EOMON],Every Other Monday
STUB_DCL[GBLCANDDCT],GBLCANDDCT
STUB_DCL[GBLCANSPEC],GBLCANSPEC
STUB_DCL[GBLMTHPAY],GBLMTHPAY
STUB_DCL[GBLPRMTH],GBLPRMTH
STUB_DCL[GBLPRSMPD],GBLPRSMPD
STUB_DCL[GBLSPC10],GBLSPC10
STUB_DCL[GBLSPC13],GBLSPC13
STUB_DCL[GBLSPC34]DYS[>15],Day before the 1st WD after the 15th CD
STUB_DCL[GBLSPC34]DYS[19-20-21-22-23-24-25-26-27-28-29-30-31],GBLSPC34-19-31CD
STUB_DCL[GBLSPC34]DYS[D1-D2-D3-D4-D5-D6-D7-D8-D9-D10-D11],Day prior to the 2-12WD
STUB_DCL[GBLSPC34]DYS[D1-D2-D3],Day Prior 2-4WD
STUB_DCL[GBLSPC34]DYS[D10-D11],Day prior to the 11-12WD
STUB_DCL[GBLSPC34]DYS[D12],Day prior to the 13WD
STUB_DCL[GBLSPC34]DYS[D2],Day prior to the 3WD
STUB_DCL[GBLSPC34]DYS[D3],Day prior to the 4WD
STUB_DCL[GBLSPC34]DYS[D4],Day prior to the 5WD
STUB_DCL[GBLSPC34]DYS[D5-D6-D7-D8],Day prior to the 6-9WD
STUB_DCL[GBLSPC34]DYS[D6],Day prior to the 7WD
STUB_DCL[GBLSPC34]DYS[D7-D8-D9],Day prior to the 8-10WD
STUB_DCL[GBLSPC34]DYS[D7],Day prior to the 8WD
STUB_DCL[GBLSPC34]DYS[D7]MIU[FEB-MAR-APR-MAY-JUN-JUL-AUG-SEP-OCT,Day prior to the 8WD Not January
STUB_DCL[GBLSPC34]DYS[D7]MIU[JAN],Day prior to the 8WD January Only
STUB_DCL[GBLSPC34]DYS[D8-D9-D10],Day prior to the 9-11WD
STUB_DCL[GBLSPC34]DYS[D8-D9-D10]MIU[JAN],Day prior to the 9-11WD January Only
STUB_DCL[GBLSPC34]DYS[D8],Day prior to the 9WD
STUB_DCL[GBLSPC34]DYS[D8]MIU[FEB-MAR-APR-MAY-JUN-JUL-AUG-SEP-OCT,Day prior to the 9WD Not January
STUB_DCL[GBLSPC34]DYS[D9],Day prior to the 10WD
STUB_DCL[GBLSPC34]DYS[L1],Day prior to Last WD
STUB_DCL[GBLSPC34]DYS[L2-L1],Day Prior Last 2 Workdays of the month
STUB_DCL[GBLSPC34]DYS[L2],Day Prior Next to Last WD
STUB_DCL[GBLSPC34]WCL[DAYPRIOR1WD]DYS[D6],Day prior to the 7WD
STUB_DCL[GBLSPC78],GBLSPC78
STUB_DCL[GBLSTCKM2],GBLSTCKM2
STUB_DCL[HOLONLY],HOLONLY
STUB_DCL[LASTCD]WCL[COPUSWD],Day Prior to LCD if LCD is Also WD
STUB_DCL[MFNOTFRH],MFNOTFRH
STUB_DCL[MFNOTFRH]DYS[D1],1WD-MFNOTFRH
STUB_DCL[MFNOTNYSE],MFNOTNYSE
STUB_DCL[PYMTBNKUSA],PYMTBNKUSA
STUB_DCL[PYMTCAL21CAN],PYMTCAL21CAN
STUB_DCL[PYMTCAL21USA],PYMTCAL21USA
STUB_DCL[PYMTCAL25CAN],PYMTCAL25CAN
STUB_DCL[PYMTCANADA],PYMTCANADA
STUB_DCL[PYMTCOPUSA],PYMTCOPUSA
STUB_DCL[PYMTWD3CAN],PYMTWD3CAN
STUB_DCL[PYMTWD5CAN],PYMTWD5CAN
STUB_DCL[PYMTWEDUSA],PYMTWEDUSA
STUB_DCL[SAP1001],SAP1001
STUB_DCL[SAP1SUN6]MIU[JAN],Sunday Prior 6WD in January
STUB_DCL[SAP3SUN]DYS[ALL],Every 3rd Sunday
STUB_DCL[SAP4MON],Every 4th Monday
STUB_DCL[SAP4SUN2],Every 4th Sunday
STUB_DCL[SAP4WED],Every 4th Wednesday
STUB_DCL[SAP99]DYS[ALL],SAP99
STUB_DCL[SAPEOTUE],SAPEOTUE
STUB_DCL[SAPEOTUE]DYS[ALL],SAPEOTUE
STUB_DCL[SAPNOTPD],SAPNOTPD
STUB_DCL[SAPNOTPD]DYS[ALL],SAPNOTPD
STUB_DCL[SAPNOTPD]MIU[DEC],SAPNOTPD-DecemberOnly
STUB_DCL[SAPNOTPD]MIU[JAN-FEB-MAR-APR-MAY-JUN-JUL-AUG-SEP-OCT-NO,SAPNOTPD-NotDecember
STUB_DCL[SAPPRBW]DYS[ALL],SAPPRBW
STUB_DCL[SAPPRSM]DYS[ALL],SAPPRSM
STUB_DCL[SAPSAT]DYS[L1],Last Saturday Monthly
STUB_DCL[SAPSMBIPD],SAPSMBIPD
STUB_DCL[SAPSMPD],SAPSMPD
STUB_DCL[SAPSMPD]DYS[ALL],SAPSMPD
STUB_DCL[SAPSPC1],SAPSPC1
STUB_DCL[SAPSPC12]DYS[ALL],SAPSPC12
STUB_DCL[SAPSPC17]DYS[ALL],SAPSPC17
STUB_DCL[SAPSPC19]DYS[ALL],SAPSPC19
STUB_DCL[SAPSPC24]DYS[ALL],SAPSPC24
STUB_DCL[SAPSPC30],SAPSPC30
STUB_DCL[SAPSPC30A],SAPSPC30A
STUB_DCL[SAPSPC31],SAPSPC31
STUB_DCL[SAPSPC38B],Day Prior First Workday Quarterly (Jan_ Apr_ Jul_ Oct)
STUB_DCL[SAPSPC40]DYS[ALL],SAPSPC40
STUB_DCL[SAPSPC49]DYS[ALL],SAPSPC49
STUB_DCL[SAPSPC9],SAPSPC9
STUB_DCL[SAPWDB4SM]DYS[ALL],SAPWDB4SM
STUB_DCL[SATHOLONLY],SATHOLONLY
STUB_DCL[SATHOLONLYPRIORND],SATHOLONLYPRIORND
STUB_DCL[SPCDP1WDFEBONLY],Day Prior to 1WD of February
