JOBNAME,PROGNAME,VARIANT,PDEST,PRCOP,PLIST,PRTXT,PRBER
YFAMDT01,ZFI_AM_BLD_DEPR_COMP_SUBMT_JOB,01 MONTHTST,MFPR,001,YFAMDT01_001,,COP
YFAMDTH8,ZFI_AM_BLD_DEPR_COMP_SUBMT_JOB,H8 MONTHTST 1,MFPR,001,YFAMDTH8_001,,COP
YFAMDTST,ZFI_AM_BLD_DEPR_COMP_SUBMT_JOB,AO MONTHTST 2,MFPR,001,YFAMDTST_001,,COP
YFAMPSDU,ZFI_AM_PS_DELETE_UNUSED,PROD RUN,MFPR,001,YFAMPSDU_001,,COP
YFAMRCLC,ZFI_AM_BLD_DEPR_COMP_SUBMT_JOB,NO DPRECIATION,MFPR,001,YFAMRCLC_001,,COP
YFAPCNTL,AQ10CF==========AT============,MONTHEND CNTL,MFPR,001,YFAPCNTL_001,US High Dollar Report,COP
YFAPEXIV,ZAPEX_INVOICE4,APEX,,001,YFAPEXIV_001,,COP
YFAPEXVN,ZAPEX_VENDOR,APEX,,001,YFAPEXVN_001,,
YFAPT001,ZFAPT001,AFAPT001,BVMK,001,YFAPT001_001,,
YFAREQEM,Z_SEND_APPROVAL_EMAIL,ARREV-PRD,BVMC,001,YFAREQEM_001,,
YFARINTC,ZFI_AR_INTERCOMP_LB_MATCHING,CA_ACH_WIRE,,001,YFARINTC_001,AR Lockbox Intercompany Documents Matching - CA,COP
YFARWKCH,RFDABL00,WEEKLY CHANGES,MFPR,001,YFARWKCH_001,Weekly Changes to the Customer Master,COP
YFASGNMT,ZJVA_MODIFY_ZUONR,CAN_ASSIGNMENT,MFPR,001,YFASGNMT_001,,COP
YFAUTCA1,SAPF124,AUTOCLR AUD J1,MFPR,001,YFAUTCA1_001,,COP
YFAUTCA2,SAPF124,AUTOCLR AUD J2,MFPR,001,YFAUTCA2_001,,COP
YFAUTCAB,SAPF124,B201SPECACH,MFPR,001,YFAUTCAB_001,,COP
YFAUTCAC,SAPF124,ACH CLEARING,MFPR,001,YFAUTCAC_001,,
YFAUTCAR,SAPF124,AR CLEARING,MFPR,001,YFAUTCAR_001,,
YFAUTCCA,SAPF124,CURRENT ASSETS,BVMK,001,YFAUTCCA_001,,COP
YFAUTCCC,SAPF124,CR CARD AR,MFPR,001,YFAUTCCC_001,,
YFAUTCCV,SAPF124,AUTOCLR CANADA,MFPR,001,YFAUTCCV_001,,
YFAUTCDA,SAPF124,AUTOCL1_200020,MFPR,001,YFAUTCDA_001,,
YFAUTCDB,SAPF124,AUTOCL2_200020,MFPR,001,YFAUTCDB_001,,
YFAUTCDC,SAPF124,AUTOCL3_200020,MFPR,001,YFAUTCDC_001,,COP
YFAUTCDD,SAPF124,AUTOCL4_200020,MFPR,001,YFAUTCDD_001,,
YFAUTCDE,SAPF124,AUTOCL5_200020,MFPR,001,YFAUTCDE_001,,
YFAUTCDG,SAPF124,AUTOCL7_REG,MFPR,001,YFAUTCDG_001,,COP
YFAUTCDJ,SAPF124,AUTOCL9_200020,MFPR,001,YFAUTCDJ_001,,
YFAUTCE1,SAPF124,AUTOCLR EU J,MFPR,001,YFAUTCE1_001,,COP
