GROUPNAME,JOBNAME
BLD2P2D1,SUSPEND.BLD2P2T
BLD2P2D2,LIE.BLD2P2D2
BLD2P2D2,SUSPEND.BLD2P2T
BLD2P2T,BLD002P2_ENTIRENET_INVOICES_NOFILE
BLDAKPR1,LIE.BLDAKPR1
BLDAKPR1,LIS.BLDAKPR1
BLDAKPR1,RESUME.BLD002PT
BLDAKPR1,SUSPEND.BLD002PT
BLDAKPR2,LIE.BLDAKPR2
BLDAKPR2,LIS.BLDAKPR2
BLDAKPR2,RESUME.BLD002PT
BLDAKPR2,SUSPEND.BLD002PT
BLM001,BILLING_INVOICES_COMPLETE
BLM001,LIE.BLM001
BLM001,LIS.BLM001
BLPMW015,LIE.BLPMW015
BLPMW015,LIS.BLPMW015
BLR001,CDSTAT.ZSDSAI11
BLR001,LIE.BLR001
BLR001,LIS.BLR001
BLR001,PARMSET.BLR001
BLR001,SETPID.BLR001
BMFP0030,BMFP0030
BMFP0040,BMFP0040
BMFP0040,LIE.BMFP0040
BMFP0040,LIS.BMFP0040
BMFP0499,BMFP0499
BMFP0499,CANCEL.BMFP0499
BMFP0499,TRIGGER.BMFP0500
BMFP0500,BMFP0500
BMFPO020,BMFPO020
BNDL002N,BNDL002N
BNDL002N,FTP279
BNDL005,BNDL005
BNDL039,BNDL039
BNDLCUP,BNDLCUP.5
BOPP0003,BOPP0003
BOPP0005,DATASET.CREATED
BOPP0013,BOPP0013
BOPP0029,BOPP0029
BOPP0279,BOPP0279
BOPP0282,BOPP0282
BOPP0283,BOPP0283
BOPP0284,BOPP0284
BOPP0300,BOPP0300
BOPP0301,BOPP0301
BOPP0302,BOPP0302
BOPP0303,BOPP0303
BOPP0304,BOPP0304
BOPP0306,BOPP0306
BOPP0307,BOPP0307
BOPP0341,BOPP0341
BOPP0999,BOPP0999
BPCP0001,BPCP0001
BPCP0003,BPCP0003
BPCP0004,BPCP0004
BPCP0005,BPCP0005
BPCP0006,BPCP0006
BPCP0007,BPCP0007
BPCP0009,BPCP0009
BPCP0010,BPCP0010
BPCP0011,BPCP0011
BPCP0012,BPCP0012
BPCP0014,BPCP0014
BPCP0015,BPCP0015
BPCP0016,BPCP0016
BPCP0020,BPCP0020
BPIRSA18,FSBP_ZFIGLI19_ZFIL_1000_0119
BPIRSA18,LIE.BPIRSA18
BPIRSA18,LIS.BPIRSA18
BPIRSA19,FSBP_ZFIGLI19_ZFIGL_1000_219
BPIRSA19,LIE.BPIRSA19
BPIRSA19,LIS.BPIRSA19
BPIRSA20,FSIP_ZFIGLI19_MARCH_1000
BPIRSA20,FSIP_ZFIGLI19_MARCH_2000
BPIRSA20,FSIP_ZFIGLI19_MARCH_3010
BPIRSA20,FSIP_ZFIGLI19_MARCH_3200
BPIRSA20,LIE.BPIRSA20
BPIRSA20,LIS.BPIRSA20
BPIRSA22,LIE.BPIRSA22
BPIRSA22,LIS.BPIRSA22
BPIRSA22,ZFIGLI19_APRIL_1000
BPIRSA23,LIE.BPIRSA23
BPIRSA23,LIE.BPIRSA23
BPIRSA23,ZFIGLI19_AUGUST_1000
BPIRSA23,ZFIGLI19_JULY_1000
BPIRSA23,ZFIGLI19_JUNE_1000
BPIRSA23,ZFIGLI19_MAY_1000
BPSD1011,BPSP1011
BPSP0001,BPSP0001.1
BPSP1000,BPSP1000
BPSP1011,BPSP1011
BPSP1038,BPSP1038
BPSP1039,BPSP1039
BPSP1040,BPSP1040
BPSP1042,BPSP1042
BPSP1043,BPSP1043
BPSP1060,BPSP1060
BPSP1060,CC2.BPSP1060
BPSP1060,LIE.BPSP1060
BPSP1060,LIS.BPSP1060
BQDFI018,FILE_FROM_ING_BANK_UPDATE
BQDFI018,LIE.BQDFI018
BQDFI018,RFEBKA00_FF_ING_EBS
BQDFI018,TRIGNEW1.BQDFI018
BRAZLBRM,BRMDLYMNT.BFBRPRO
BRAZLBRM,BRMDLYONS.BFBRPRO
BRAZLBRM,LIE.BRAZLBRM
BRAZLBRM,LIS.BRAZLBRM
BSCP0034,BSCP0034
BSCP0035,BSCP0035
BSCP0350,BSCP0350
BSD001,LIE.BSD001
BSD001,LIS.BSD001
BSPPD050,CDSTAT.RAWCON_2000_CD
BSPPD050,LIE.BSPPD050
BSPPD050,LIS.BSPPD050
BSPPD050,PARMSET.BSPPD050
BSPPD050,SETPID.BSPPD050
BSW001,LIE.BSW001
BSW001,LIS.BSW001
BWD001,LIE.BWD001
BWD001,LIS.BWD001
BWD001B,LIE.BWD001B
BWD001B,LIS.BWD001B
BWD002,LIE.BWD002
BWD002,LIS.BWD002
BWD002B,LIE.BWD002B
BWD002B,LIS.BWD002B
BWD003,LIE.BWD003
BWD003,LIS.BWD003
BWD003B,LIE.BWD003B
BWD003B,LIS.BWD003B
BWD007,CDSTAT.BWD007
BWD007,LIE.BWD007
BWD007,LIS.BWD007
BWD007,PARMSET.BWD007
BWD007,SETPID.BWD007
BWD009,LIE.BWD009
BWD009,LIS.BWD009
BWD009B,LIE.BWD009B
BWD009B,LIS.BWD009B
BWDAUDIT,LIS.BWDAUDIT
BWDNTL02,LIS.BWDNTL02
BWDNTL04,FT_ZSC_WMS_RECON_NONSAP_PS
BWDNTL04,LIS.BWDNTL04
BWDNTL04,ZCINV_DETAIL
BWDNTL04,ZDD_SLS_ORDERS_OPENHUB
BWDNTL04,ZSCM_INVICS_STOPOC_SAP
BWDNTL06,LIS.BWDNTL06
BWDNTL08,LIS.BWDNTL08
BWDNTLR1,LIE.BWDNTLR1
BWDNTLR1,LIS.BWDNTLR1
BWDNTLR1,ZFI_BYSOURCE_PC
BWDNTLR2,LIE.BWDNTLR2
BWDNTLR2,LIS.BWDNTLR2
BWDNTLR2,ZFI_BYCUSTOMER_PC
BWDNTLR3,LIE.BWDNTLR3
BWDNTLR3,LIS.BWDNTLR3
BWDNTLR4,LIE.BWDNTLR4
BWDNTLR4,LIS.BWDNTLR4
BWDNTLR4,ZLSCM_FRT_USBANK_USB
BWEDI830,ZCR_EDI_830_LOAD
BWI001,LIE.BWI001
BWI001,LIS.BWI001
BWPARCMS,END.BWPARCMS
BWPARCMS,ZCR_CREDITMANAGEMENT
COD001CD,CDSTAT.COD001CD
COD001CD,LIE.COD001CD
COD001CD,LIS.COD001CD
COD001CD,PARMSET.COD001CD
